Buyer/seller valuation pair,"[(1, 0), (1, 1), (1, 2), (2, 0), (2, 1), (2, 2), (3, 0), (3, 1), (3, 2)]"
Joint density,BOM GFT,SOM GFT,FB GFT,Ratio of BOM + SOM to FB,BOM trade count by buyer type,SOM trade count by seller type,BOM revenue list,SOM revenue list
"[3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -5.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-5.0, 0.0, 3.0])]"
"[3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -6.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-5.0, 0.0, 3.0])]"
"[3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -7.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-5.0, 0.0, 3.0])]"
"[3.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -6.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-6.0, 0.0, 3.0])]"
"[3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -7.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-6.0, 0.0, 3.0])]"
"[3.0, 3.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -8.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-6.0, 0.0, 3.0])]"
"[3.0, 1.0, 3.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -7.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-7.0, 0.0, 3.0])]"
"[3.0, 2.0, 3.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -8.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-7.0, 0.0, 3.0])]"
"[3.0, 3.0, 3.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -9.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-7.0, 0.0, 3.0])]"
"[3.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -5.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-6.0, 0.0, 3.0])]"
"[3.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -6.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-6.0, 0.0, 3.0])]"
"[3.0, 3.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -7.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-6.0, 0.0, 3.0])]"
"[3.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -6.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-7.0, 0.0, 3.0])]"
"[3.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -7.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-7.0, 0.0, 3.0])]"
"[3.0, 3.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -8.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-7.0, 0.0, 3.0])]"
"[3.0, 1.0, 3.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -7.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-8.0, 0.0, 3.0])]"
"[3.0, 2.0, 3.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -8.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-8.0, 0.0, 3.0])]"
"[3.0, 3.0, 3.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -9.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-8.0, 0.0, 3.0])]"
"[3.0, 1.0, 1.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -5.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-7.0, 0.0, 3.0])]"
"[3.0, 2.0, 1.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -6.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-7.0, 0.0, 3.0])]"
"[3.0, 3.0, 1.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -7.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-7.0, 0.0, 3.0])]"
"[3.0, 1.0, 2.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -6.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-8.0, 0.0, 3.0])]"
"[3.0, 2.0, 2.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -7.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-8.0, 0.0, 3.0])]"
"[3.0, 3.0, 2.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -8.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-8.0, 0.0, 3.0])]"
"[3.0, 1.0, 3.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -7.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-9.0, 0.0, 3.0])]"
"[3.0, 2.0, 3.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -8.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-9.0, 0.0, 3.0])]"
"[3.0, 3.0, 3.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -9.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 6.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-9.0, 0.0, 3.0])]"
"[3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -5.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-4.0, 0.0, 2.0])]"
"[3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -6.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-4.0, 0.0, 2.0])]"
"[3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -7.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-4.0, 0.0, 2.0])]"
"[3.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -6.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-5.0, 0.0, 2.0])]"
"[3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -7.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-5.0, 0.0, 2.0])]"
"[3.0, 3.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -8.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-5.0, 0.0, 2.0])]"
"[3.0, 1.0, 3.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -7.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-6.0, 0.0, 2.0])]"
"[3.0, 2.0, 3.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -8.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-6.0, 0.0, 2.0])]"
"[3.0, 3.0, 3.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -9.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-6.0, 0.0, 2.0])]"
"[3.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -5.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-5.0, 0.0, 2.0])]"
"[3.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -6.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-5.0, 0.0, 2.0])]"
"[3.0, 3.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -7.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-5.0, 0.0, 2.0])]"
"[3.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -6.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-6.0, 0.0, 2.0])]"
"[3.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -7.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-6.0, 0.0, 2.0])]"
"[3.0, 3.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -8.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-6.0, 0.0, 2.0])]"
"[3.0, 1.0, 3.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -7.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-7.0, 0.0, 2.0])]"
"[3.0, 2.0, 3.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -8.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-7.0, 0.0, 2.0])]"
"[3.0, 3.0, 3.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -9.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-7.0, 0.0, 2.0])]"
"[3.0, 1.0, 1.0, 1.0, 1.0, 3.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -5.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-6.0, 0.0, 2.0])]"
"[3.0, 2.0, 1.0, 1.0, 1.0, 3.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -6.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-6.0, 0.0, 2.0])]"
"[3.0, 3.0, 1.0, 1.0, 1.0, 3.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -7.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-6.0, 0.0, 2.0])]"
"[3.0, 1.0, 2.0, 1.0, 1.0, 3.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -6.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-7.0, 0.0, 2.0])]"
"[3.0, 2.0, 2.0, 1.0, 1.0, 3.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -7.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-7.0, 0.0, 2.0])]"
"[3.0, 3.0, 2.0, 1.0, 1.0, 3.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -8.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-7.0, 0.0, 2.0])]"
"[3.0, 1.0, 3.0, 1.0, 1.0, 3.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -7.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-8.0, 0.0, 2.0])]"
"[3.0, 2.0, 3.0, 1.0, 1.0, 3.0, 2.0, 1.0, 2.0]",11.0,10.0,16.0,1.3125,"[1, 1, 1]","[1, 1, 1]","[(1, [3.0, 0.0, -8.0]), (2, [2.0, 2.0, 0.0]), (3, [6.0, 6.0, 5.0])]","[(0, [6.0, 6.0, 6.0]), (1, [0.0, 2.0, 2.0]), (2, [-8.0, 0.0, 2.0])]"
